date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:26	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-5bb3fd37a0c94%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/founder-img.png	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/founder-img.png	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:27	33129/33129	---M--	200	added ('OK')	image/jpeg	etag:%228169-5bb3fd34bf7d5%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest5.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest5.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:27	15983/15983	---M--	200	added ('OK')	image/jpeg	etag:%223e6f-5bb3fd337d3a3%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest6.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest6.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:28	30167/30167	---M--	200	added ('OK')	image/jpeg	etag:%2275d7-5bb3fd34b8a75%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest7.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest7.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:29	11448/11448	---M--	200	added ('OK')	image/jpeg	etag:%222cb8-5bb3fd38883a9%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest8.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest8.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:29	22633/22633	---M--	200	added ('OK')	image/jpeg	etag:%225869-5bb3fd38b6207%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/blog1.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/blog1.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:30	65286/65286	---M--	200	added ('OK')	image/jpeg	etag:%22ff06-5bb3fd398a09e%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/blog2.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/blog2.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:31	3344/3344	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d10-5bb3fd5d80f84%22	https://preview.colorlib.com/theme/capitalshop/assets/img/icon/services1.svg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/icon/services1.svg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:31	1484/1484	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225cc-5bb3fd5edaab5%22	https://preview.colorlib.com/theme/capitalshop/assets/img/icon/services2.svg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/icon/services2.svg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:32	2340/2340	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22924-5bb3fd5e5f9fa%22	https://preview.colorlib.com/theme/capitalshop/assets/img/icon/services3.svg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/icon/services3.svg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:32	6576/6576	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2219b0-5bb3fd5f403b0%22	https://preview.colorlib.com/theme/capitalshop/assets/img/icon/services4.svg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/icon/services4.svg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:33	3058/3058	---M--	200	added ('OK')	image/png	etag:%22bf2-5bb3fd574548b%22	https://preview.colorlib.com/theme/capitalshop/assets/img/logo/logo2_footer.png	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/logo/logo2_footer.png	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:33	47340/47340	---M--	200	added ('OK')	image/jpeg	etag:%22b8ec-5bb3fd39ad31c%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/blog3.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/blog3.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:33	8636/8636	---M-Z	200	added ('OK')	application/javascript	etag:%2221bc-5bb3fd218f6ef-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/vendor/modernizr-3.5.0.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/vendor/modernizr-3.5.0.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:34	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%2217b8b-5bb3fd21be4ed-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/vendor/jquery-1.12.4.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/vendor/jquery-1.12.4.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:35	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%224af4-5bb3f7c613ab7-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/popper.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/popper.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:35	62411/62411	---M-Z	200	added ('OK')	application/javascript	etag:%22f3cb-5bb3f7c4ebc63-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/bootstrap.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:36	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:%22a70e-5bb3f7c42394c-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/owl.carousel.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:36	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%22a76f-5bb3f7c6bc9d0-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/slick.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/slick.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:37	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:%2220df-5bb3f7c0aed31-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.slicknav.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/jquery.slicknav.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:38	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:%2220df-5bb3f7c22ca81-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/wow.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/wow.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:39	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-5bb3f7c1cfe25-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.magnific-popup.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/jquery.magnific-popup.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:39	2942/2942	---M-Z	200	added ('OK')	application/javascript	etag:%22b7e-5bb3f7c06d653-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.nice-select.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/jquery.nice-select.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:40	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:%2242b-5bb3f7c7dbb84-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.counterup.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/jquery.counterup.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:40	8044/8044	---M-Z	200	added ('OK')	application/javascript	etag:%221f6c-5bb3f7c30f377-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/waypoints.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/waypoints.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:41	85536/85536	---M-Z	200	added ('OK')	application/javascript	etag:%2214e20-5bb3f7c32c836-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/price_rangs.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/price_rangs.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:42	3108/3108	---M-Z	200	added ('OK')	application/javascript	etag:%22c24-5bb3f7c5cb67a-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/contact.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/contact.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:42	41095/41095	---M-Z	200	added ('OK')	application/javascript	etag:%22a087-5bb3f7c709c2c-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.form.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/jquery.form.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:42	21068/21068	---M-Z	200	added ('OK')	application/javascript	etag:%22524c-5bb3f7bf8ebdd-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.validate.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/jquery.validate.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:43	1230/1230	---M-Z	200	added ('OK')	application/javascript	etag:%224ce-5bb3f7bf90b1d-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/mail-script.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/mail-script.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:43	4820/4820	---M-Z	200	added ('OK')	application/javascript	etag:%2212d4-5bb3f7c527581-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.ajaxchimp.min.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/jquery.ajaxchimp.min.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:44	760/760	---M-Z	200	added ('OK')	application/javascript	etag:%222f8-5bb3f7c14b12a-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/plugins.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/plugins.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:45	9424/9424	---M-Z	200	added ('OK')	application/javascript	etag:%2224d0-5bb3f7c3f0cce-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/main.js	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/js/main.js	(from https://preview.colorlib.com/theme/capitalshop/)
